logk logPk493 logPk424 logPk373 logPk333 logPk300 logPk197 logPk103 logPk052 logPk023 logPk002 logPk000
-0.19775321906340687 -0.0025476559622981203 -0.003981174594093485 -0.002960043668684697 -0.00279315140811827 -0.003904884736147574 -0.003112583960759033 -0.00273070524109593 -0.0005136540893311676 0.0018831523837601564 0.0015788180728280585 0.0015530402359515826
-0.15800894661337514 -0.002219713212224514 -0.0034480435908099323 -0.0022643900298503403 -0.002069041979349907 -0.0031587243586093257 -0.003061047552392156 -0.003696145559963732 -0.0011815270951074251 0.0017991476507085297 0.0016058953390148247 0.0015895264105440757
-0.12158162025875424 -0.0026207903863888385 -0.0038472835746663344 -0.0026355829607119584 -0.0023675550798325806 -0.003421330711187911 -0.003062353182495522 -0.004127892585283162 -0.0019935924559539293 0.0011716371693133985 0.001246222893275087 0.0012525404807324778
-0.08640864811810588 -0.0027485309191566405 -0.0040068676332116636 -0.002812067226611843 -0.0025817194961408863 -0.00369278167374743 -0.003507308310072959 -0.005025882712163146 -0.0030202460222874088 0.0005419744914901679 0.0008699336972199933 0.0008977126186355556
-0.05403437805297817 -0.003673720233325883 -0.004999921658297704 -0.003712068155575459 -0.003398206071618468 -0.0044267785040495245 -0.0037653086619151097 -0.0056577474731296035 -0.003297562549794641 0.0002122109296695431 0.0003273000998256547 0.0003370484250981053
-0.025262698538619784 -0.0033597018971208603 -0.004842589828258231 -0.0038168541299590263 -0.003791065185187884 -0.005128218214077182 -0.0049883317922159096 -0.006716729220219464 -0.0038755436614906205 0.00016431876166629923 0.0004371359019321485 0.0004602441598125714
0.002425264677901354 -0.004386494830076026 -0.005848525723543731 -0.004609197130610965 -0.004386850248113693 -0.005608604712851247 -0.005416354802232873 -0.007872543947062521 -0.00486726706989628 -0.0003456688519544372 0.0005280482438433947 0.0006020541510402668
0.029464946638236 -0.004583392900413478 -0.006035713357437152 -0.004801535717932213 -0.0046253745162830075 -0.005860640156768563 -0.005714717051805943 -0.008848109296921277 -0.006022397770234132 -0.0015241389544966432 0.0002438175632944598 0.0003935676673190102
0.05472793208219808 -0.005114460185199465 -0.006581147641455852 -0.0053456961968230245 -0.005151527525359446 -0.006434991732101383 -0.006466200335487155 -0.009015423608574208 -0.006306565207821694 -0.0018731338865445846 -0.0006733249130171767 -0.0005716982515086679
0.07776749038205685 -0.004499118316699813 -0.005956715496661959 -0.004826762793868428 -0.004808026364204074 -0.006236983428679338 -0.007150278190595417 -0.010564390290683559 -0.007251484819231401 -0.002824109931782432 -0.0008345190824416772 -0.0006659960256487863
0.0996115903925289 -0.005160893585644933 -0.006734682466419773 -0.005664930896016351 -0.005704752914843218 -0.007239651743154256 -0.008051233195642722 -0.0115561515685383 -0.007919575221321364 -0.0031372942347747605 -0.0015134169995270634 -0.0013758707519500768
0.12103430247229906 -0.0056034298131906 -0.006978102779213902 -0.005767529608132871 -0.005701809530498223 -0.007147428977808994 -0.008057739749377305 -0.013208753064193562 -0.009346751861033174 -0.0038201458794619955 -0.0014081317692042762 -0.0012038284618067266
0.14132432727541744 -0.006626667516575272 -0.008237262697845995 -0.00693891720227615 -0.006764127598961731 -0.00814075438749175 -0.008896495990349145 -0.013703104178995805 -0.008928064931063077 -0.004323462143510499 -0.0008868306907563686 -0.0005957398678966738
0.1603184379840017 -0.007159897659030154 -0.00880884826506123 -0.007614703726933885 -0.007553498471818607 -0.009043398585870562 -0.009608822223954734 -0.01509402476835942 -0.009557637112275532 -0.004639502727303373 0.00023740474319627685 0.0006504903556964604
0.17857410337992521 -0.007073841768754613 -0.008553993046999088 -0.00749291063460802 -0.007608808551615198 -0.009250593977750415 -0.009938038630092915 -0.01656275476836725 -0.011003618855210643 -0.005712564834607207 -0.0015771821869566137 -0.001226905483069845
0.19639728443734303 -0.007750781510668265 -0.009025908471342436 -0.007589551371248102 -0.007457684199504784 -0.008999793945385253 -0.010948349863724255 -0.01757145244303746 -0.011055088947277478 -0.005319789361159464 -0.0004625410647987808 -5.112063090605807e-05
0.21365054846100043 -0.00821321042936744 -0.010001383903894902 -0.008881056746734336 -0.008901914262451231 -0.010443592092704249 -0.010644960758511764 -0.018548943669949337 -0.01178528813385079 -0.006289311711301009 -0.00027667104806496713 0.00023261385556309103
0.2300144096042562 -0.00874038140734436 -0.010047837568505549 -0.008707030464326724 -0.008778040660796628 -0.01056261798966152 -0.011382269574860535 -0.019839262105340625 -0.012357746878886963 -0.006031281327692468 -0.00061055132902336 -0.00015140266047809954
0.2457593559672769 -0.009416625494870056 -0.011159151394817799 -0.009953665562543155 -0.009946995729086701 -0.011595366940760932 -0.01260119577560363 -0.020571949156422867 -0.013793601216248142 -0.007029796883689207 -0.0014174596956694333 -0.0009420814444119446
0.2610248339923974 -0.00960392224939599 -0.011294668312518045 -0.010229943993145672 -0.010544492591810896 -0.01263073636021072 -0.013720822150606632 -0.021643112663477314 -0.013921141023658597 -0.007052925586906104 -0.0013337585093006767 -0.0008493315133951178
